code,enum_methode_application_dpe_log_id,version_dpe,version_logiciel,version_moteur_calcul,type_generateur_ecs_1_id,type_generateur_ecs_1_label,type_generateur_ecs_2_id,type_generateur_ecs_2_label,type_generateur_ch_1_id,type_generateur_ch_1_label,type_generateur_ch_2_id,type_generateur_ch_2_label,deperdition_mur_input,deperdition_mur_output,deperdition_mur_diff,deperdition_baie_vitree_input,deperdition_baie_vitree_output,deperdition_baie_vitree_diff,deperdition_plancher_bas_input,deperdition_plancher_bas_output,deperdition_plancher_bas_diff,deperdition_plancher_haut_input,deperdition_plancher_haut_output,deperdition_plancher_haut_diff,deperdition_porte_input,deperdition_porte_output,deperdition_porte_diff,deperdition_renouvellement_air_input,deperdition_renouvellement_air_output,deperdition_renouvellement_air_diff,hperm_input,hperm_output,hperm_diff,deperdition_pont_thermique_input,deperdition_pont_thermique_output,deperdition_pont_thermique_diff,surface_sud_equivalente_input,surface_sud_equivalente_output,surface_sud_equivalente_diff,besoin_ecs_input,besoin_ecs_output,besoin_ecs_diff,besoin_ch_input,besoin_ch_output,besoin_ch_diff,conso_ecs_input,conso_ecs_output,conso_ecs_diff,conso_ch_input,conso_ch_output,conso_ch_diff,conso_auxiliaire_distribution_ch_input,conso_auxiliaire_distribution_ch_output,conso_auxiliaire_distribution_ch_diff,conso_auxiliaire_distribution_ecs_input,conso_auxiliaire_distribution_ecs_output,conso_auxiliaire_distribution_ecs_diff,conso_auxiliaire_generation_ch_input,conso_auxiliaire_generation_ch_output,conso_auxiliaire_generation_ch_diff,conso_auxiliaire_generation_ecs_input,conso_auxiliaire_generation_ecs_output,conso_auxiliaire_generation_ecs_diff,conso_auxiliaire_ventilation_input,conso_auxiliaire_ventilation_output,conso_auxiliaire_ventilation_diff,ep_conso_5_usages_input,ep_conso_5_usages_output,ep_conso_5_usages_diff,ep_conso_5_usages_m2_input,ep_conso_5_usages_m2_output,ep_conso_5_usages_m2_diff,emission_ges_5_usages_input,emission_ges_5_usages_output,emission_ges_5_usages_diff,emission_ges_5_usages_m2_input,emission_ges_5_usages_m2_output,emission_ges_5_usages_m2_diff,runFailed
2569E0205425U,2,2.4,LICIEL Diagnostics v4 [Version XML:305],3cl_tribu_2024.6.1.0,57,chaudière gaz à condensation après 2015,,,97,chaudière gaz à condensation après 2015,,,32.349,32.349,0,41.91,41.910000000000004,0,23.892,23.892000000000003,0,0,0,0,9.205,9.205,0,43.57347492354671,43.57347492354671,0,19.09347492354671,19.09347492354671,0,11.942599999999999,11.942599999999999,0,11.188294,11.188293599999998,0,1193.0349262440002,1193.0349262440002,0,7332.466730494414,7332.4442551101365,0,1570.4851474332056,1570.485147433206,0,10068.031465960983,10035.680320889216,0.32,156.3,156.3,0,0,0,0,18.108004795307945,18.107949290880686,0,2.946277556985183,2.946277556985183,0,0,0,0,12303.078342804463,12270.727070072515,0.26,205,204,0.49,2660.993351711028,2653.649638227453,0.28,44,44,0,OK
2592E1170769H,2,2.4,LICIEL Diagnostics v4 [Version XML:309],3cl_tribu_2024.6.1.0,69,ballon électrique à accumulation vertical autres ou inconnue,,,104,radiateur électrique à accumulation,,,18.342,18.3465,0.02,11.968,11.968,0,9.548,9.548,0,0,0,0,0,0,0,23.533455954931036,23.534748574617403,0.01,3.465295954931034,3.4665885746173997,0.04,8.5008,8.5008,0,9.009638,9.0096384,0,1064.5986921150002,1064.5986921150002,0,2467.922792461966,2468.235814676579,0.01,1700.5247764677417,1700.5247764677415,0,2393.7180823454764,2394.008921936261,0.01,0,0,0,0,0,0,0,0,0,0,0,0,237.84311039999997,237.8431104,0,10152.4575291904,10153.126460249203,0.01,233,233,0,320.5195920412959,320.5425683689678,0.01,7,7,0,OK
2513E0451525A,2,2.4,LICIEL Diagnostics v4 [Version XML:308],3cl_tribu_2024.6.1.0,70,ballon électrique à accumulation vertical catégorie b ou 2 étoiles,,,99,"panneau rayonnant électrique nfc, nf** et nf***",,,12.075812,12.075823492852704,0,15.9,15.899999999999999,0,0,0,0,0,0,0,0,0,0,10.499637288479132,10.499637288479132,0,0.09645328847913018,0.09645328847913018,0,9.486300000000002,9.486300000000002,0,7.61292,7.61292,0,687.8267953788,687.8267953788,0,952.3211449879253,952.3255311212567,0,1065.8262047083872,1065.8262047083872,0,907.2476470311607,907.2516266538512,0,0,0,0,0,0,0,0,0,0,0,0,0,67.00874400000001,67.008744,0,4793.35648404096,4793.365637173149,0,206,206,0,148.27482245270687,148.2751368428994,0,6,6,0,OK
2516E0922825B,2,2.4,LICIEL Diagnostics v4 [Version XML:309],3cl_tribu_2024.6.1.0,57,chaudière gaz à condensation après 2015,,,97,chaudière gaz à condensation après 2015,,,19.761,19.761000000000003,0,6.123,6.123,0,8.9611537994,8.961153846153847,0,7.68288,7.682880000000001,0,7.735,7.734999999999999,0,17.95789918716315,17.95789918716315,0,3.2127791871631466,3.2127791871631466,0,2.964,2.964,0,2.14776,2.147760000000001,0,942.1406377018999,942.1406377018999,0,2779.6254714657575,2779.627246057709,0,1295.7645689868818,1295.7645689868818,0,3489.272081209445,3458.973109355929,0.87,168.69,168.69,0,0,0,0,6.7637553139000115,6.763759632073759,0,2.2925422184079567,2.2925422184079567,0,0,0,0,5354.200459840636,5323.901497918919,0.57,148,147,0.68,1102.389502396234,1095.5116360618492,0.62,30,30,0,OK
2514E0426385D,2,2.4,LICIEL Diagnostics v4 [Version XML:308],3cl_tribu_2024.6.1.0,70,ballon électrique à accumulation vertical catégorie b ou 2 étoiles,,,104,radiateur électrique à accumulation,,,3.68932,3.68932,0,4.0131,4.0131,0,0,0,0,10.0875,10.087499999999999,0,0,0,0,23.27375252748876,23.27375252748876,0,0.8797205274887573,0.8797205274887573,0,0.8371999999999999,0.8372,0,0,0,0,1126.33886991675,1126.33886991675,0,1066.8357042632094,1066.9029575518196,0.01,1742.7470644266132,1742.7470644266127,0,1046.0299758609776,1046.0958066220119,0.01,0,0,0,0,0,0,0,0,0,0,0,0,265.40879808000005,265.40879808,0,7235.152638245459,7235.304048995836,0,149,149,0,219.2168466578671,219.22204728798877,0,4,4,0,OK
2559E1334938F,2,2.4,LICIEL Diagnostics v4 [Version XML:309],3cl_tribu_2024.6.1.0,12,pac double service après 2014,,,7,pac air/eau installée après 2017,,,11.8478,11.8478,0,8.957,8.957,0,16.116,16.116,0,8.46894719362338,8.46894719362338,0,2.831,2.831,0,33.43838693703351,33.43838693703351,0,14.537786937033514,14.537786937033516,0,17.559,17.559,0,27.465588,27.465588,0,1152.4833189659998,1152.4833189659998,0,3229.854470880908,3229.840600824641,0,538.7953805357643,538.7953805357644,0,1307.1322588601167,1307.1269106606014,0,173.76,173.76,0,0,0,0,0,0,0,0,0,0,121.74210000000004,121.74210000000001,0,5146.985400610527,5146.973099751642,0,100,100,0,163.8481925847739,163.84777007701223,0,3,3,0,OK
2542E1359975N,2,2.4,4.1.1,3cl-2024.6.1.0,57,chaudière gaz à condensation après 2015,,,97,chaudière gaz à condensation après 2015,,,24.6887685869565,24.68876858695652,0,28.18212,28.18212,0,0,0,0,0,0,0,3.5,3.5,0,29.4258637405311,29.42586374053108,0,0.994383740531076,0.9943837405310763,0,0,0,0,49.7578752,49.7578752,0,1303.79954491514,1303.7995449151404,0,2978.66183668352,2978.6554050349487,0,1704.50742696917,1704.5074269691743,0,4016.97785872424,3993.4406152006636,0.59,177.57,177.57,0,0,0,0,7.24807713592991,7.248061485585042,0,3.17257889262684,3.172578892626842,0,183.13218,183.13218,0,6846.04413935909,6822.506859839726,0.34,108,107,0.93,1330.35,1325.3153560007588,0.38,21,20,4.76,OK
2559E0305897S,2,2.4,LICIEL Diagnostics v4 [Version XML:305],3cl_tribu_2024.6.1.0,118,chaudière électrique,,,99,"panneau rayonnant électrique nfc, nf** et nf***",,,1.1615,1.1615,0,3.185,3.1850000000000005,0,0,0,0,0,0,0,0,0,0,7.280241072124242,7.280241072124242,0,0.020187072124240986,0.020187072124240986,0,0,0,0,3.31017,3.3101705000000003,0,772.34548466775,772.34548466775,0,83.8409134138097,66.6870812906141,20.46,1387.6278513111074,1458.769015771774,5.13,85.06311426936512,67.65929490242446,20.46,0,0,0,0,0,0,0,0,0,0,0,0,46.763289,46.763289,0,3579.9025155350864,3703.498409250656,3.45,182,189,3.85,102.46337875850183,105.71265271845685,3.17,5,5,0,KO
2595E0223275I,2,2.4,4.1.1,3cl-2024.6.1.0,68,ballon électrique à accumulation horizontal,,,104,radiateur électrique à accumulation,,,0.091425,0.091425,0,13.563,13.563000000000002,0,0,0,0,11.1174,11.1174,0,2.1,2.1,0,17.4227812810437,17.422781281043747,0,3.14155764212771,3.141557642127713,0,0,0,0,31.402016,31.402015999999996,0,976.345822349712,976.3458223497115,0,882.004772981118,882.0389136447773,0,1624.86857741346,1624.8685774134615,0,931.263731481012,931.2989619252095,0,0,0,0,0,0,0,0,0,0,0,0,0,91.9878816741944,91.98788167419444,0,6248.08130432814,6248.162334349792,0,172,172,0,189.740395202637,189.7984459317211,0.03,5,5,0,OK
2569E0549340H,2,2.4,LICIEL Diagnostics v4 [Version XML:308],3cl_tribu_2024.6.1.0,6,cet sur air extérieur après 2014,,,98,"convecteur électrique nfc, nf** et nf***",,,17.28962516733601,17.28962516733601,0,22.848,22.848,0,18.5368422,20.431578947368422,10.22,0,0,0,0,0,0,43.522503354918825,43.522503354918825,0,15.853983354918828,15.853983354918828,0,0,0,0,39.424968,39.424968,0,1204.1774222532601,1204.1774222532601,0,3624.8274891610495,3720.375516761105,2.64,517.9257730121548,517.9257730121549,0,3589.6771469339574,3679.6186890493086,2.51,0,0,0,0,0,0,0,0,0,0,0,0,178.21782000000002,178.21782,0,10121.092371076058,10327.957917941367,2.04,164,167,1.83,336.5667504095727,343.67213223668546,2.11,5,5,0,OK
2513E0541374T,2,2.4,LICIEL Diagnostics v4 [Version XML:308],3cl_tribu_2024.6.1.0,70,ballon électrique à accumulation vertical catégorie b ou 2 étoiles,,,99,"panneau rayonnant électrique nfc, nf** et nf***",,,75.0449,75.08872500000001,0.06,10.4,10.4,0,92.953,92.95299999999999,0,0,0,0,3.2725,3.2725000000000004,0,40.26131619407293,61.346333309607594,52.37,16.20563619407293,37.29065330960759,130.11,26.160299999999996,26.160299999999996,0,3.94896,3.94896,0,1017.0653597852161,1017.0653597852161,0,7659.633570950489,8441.203021345416,10.2,1528.5886664357163,1528.588666435716,0,6885.103271979389,7500.253304449321,8.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19608.815774834744,21023.66084951558,7.22,332,356,7.23,651.0011512990933,699.5980038642178,7.46,11,11,0,KO
2575E0078392D,31,2.4,DPEWIN V5.2.3,3cl_bbs_V2024.6.1.0,117,chauffe-eau électrique instantané,,,93,chaudière gaz basse température après 2015,,,135.835,135.835,0,114.944,114.944,0,125.83,125.82947368421053,0,0,0,0,5.963,5.963125000000001,0,163.171,163.17127001531182,0,37.689,37.689170015311795,0,33.151,33.151,0,34.406,34.405862400000004,0,1939.517,1939.5171560730003,0,29434.68,29434.550165491495,0,2085.502,2085.5023183580647,0,43525.23,43421.33223249203,0.24,246.362,246.36105548183747,0,0,0,0,71.624,71.62407206936265,0,0,0,0,0,0,0,49772.68,49668.78185808334,0.21,300,300,0,9930,10034.133970632241,1.05,60,60,0,OK
2528E1297578C,2,2.4,WinDpeV3 v.3.0.0.18,V 2024.6.1.0,68,ballon électrique à accumulation horizontal,,,100,"radiateur électrique nfc, nf** et nf***",98,"convecteur électrique nfc, nf** et nf***",12.711,12.711142857142857,0,5.94,5.94,0,0,0,0,0,0,0,1.365,1.3650000000000002,0,17.198,17.198447232156347,0,3.17344723215634,3.1734472321563443,0,10.52,10.5204,0,9.53766,9.537660000000002,0,838.749930375,838.7499303750001,0,1404.22692730982,1404.2555642784175,0,1699.32664556452,1699.3266455645164,0,1290.42871348935,1290.453873224515,0,0,0,0,0,0,0,0,0,0,0,0,0,166.221,166.221,0,7367.42062582388,7367.478493214772,0,294,294,0,226.25,226.3004819464303,0.02,9,9,0,OK
2549E0673184T,2,2.4,LICIEL Diagnostics v4 [Version XML:309],3cl_tribu_2024.6.1.0,52,chaudière gaz basse température 2001-2015,,,92,chaudière gaz basse température 2001-2015,,,67.12912,67.129121392,0,29.111839999999997,29.111839999999997,0,0,0,0,0,0,0,5.077999999999999,5.078,0,43.600623118263655,43.6006233014256,0,7.197333118263653,7.197333301425594,0,34.566599999999994,32.54599999999999,5.85,17.13417,17.134169868,0,1205.298276305564,1205.298276305564,0,7404.62046582464,7294.676670933665,1.48,1908.8653344486097,1908.8653344486092,0,10431.427684313527,10251.877911970627,1.72,168.69,168.69,0,0,0,0,13.513432350129968,17.750379899271923,31.35,2.9328924723435392,2.9328924723435392,0,431.4432276000001,431.4432276,0,14046.332407153825,13876.52761417395,1.21,216,213,1.39,2278.8599543021855,2246.1575676686334,1.44,35,34,2.86,OK
2534E0412954I,2,2.4,LICIEL Diagnostics v4 [Version XML:308],3cl_tribu_2024.6.1.0,69,ballon électrique à accumulation vertical autres ou inconnue,,,98,"convecteur électrique nfc, nf** et nf***",104,radiateur électrique à accumulation,35.9047725,35.90478645461044,0,8.0562,8.0562,0,18.6542422006,20.560978947368422,10.22,0,0,0,1.183,1.183,0,16.031334518676964,16.031334518676964,0,3.7138145186769616,3.7138145186769607,0,4.6037,4.6037,0,0,0,0,760.3185138654001,760.3185138654001,0,2444.1075339036774,2517.476025413257,3,1075.3067891025805,1075.3067891025805,0,2305.961970445746,2369.268448333571,2.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7908.67902068115,8054.283919823148,1.84,261,266,1.92,256.01876316848166,261.01997492161985,1.95,8,8,0,OK
