code,enum_methode_application_dpe_log_id,version_dpe,version_logiciel,version_moteur_calcul,type_generateur_ecs_1_id,type_generateur_ecs_1_label,type_generateur_ecs_2_id,type_generateur_ecs_2_label,type_generateur_ch_1_id,type_generateur_ch_1_label,type_generateur_ch_2_id,type_generateur_ch_2_label,deperdition_mur_input,deperdition_mur_output,deperdition_mur_diff,deperdition_baie_vitree_input,deperdition_baie_vitree_output,deperdition_baie_vitree_diff,deperdition_plancher_bas_input,deperdition_plancher_bas_output,deperdition_plancher_bas_diff,deperdition_plancher_haut_input,deperdition_plancher_haut_output,deperdition_plancher_haut_diff,deperdition_porte_input,deperdition_porte_output,deperdition_porte_diff,deperdition_renouvellement_air_input,deperdition_renouvellement_air_output,deperdition_renouvellement_air_diff,hperm_input,hperm_output,hperm_diff,deperdition_pont_thermique_input,deperdition_pont_thermique_output,deperdition_pont_thermique_diff,surface_sud_equivalente_input,surface_sud_equivalente_output,surface_sud_equivalente_diff,besoin_ecs_input,besoin_ecs_output,besoin_ecs_diff,besoin_ch_input,besoin_ch_output,besoin_ch_diff,conso_ecs_input,conso_ecs_output,conso_ecs_diff,conso_ch_input,conso_ch_output,conso_ch_diff,conso_auxiliaire_distribution_ch_input,conso_auxiliaire_distribution_ch_output,conso_auxiliaire_distribution_ch_diff,conso_auxiliaire_distribution_ecs_input,conso_auxiliaire_distribution_ecs_output,conso_auxiliaire_distribution_ecs_diff,conso_auxiliaire_generation_ch_input,conso_auxiliaire_generation_ch_output,conso_auxiliaire_generation_ch_diff,conso_auxiliaire_generation_ecs_input,conso_auxiliaire_generation_ecs_output,conso_auxiliaire_generation_ecs_diff,conso_auxiliaire_ventilation_input,conso_auxiliaire_ventilation_output,conso_auxiliaire_ventilation_diff,ep_conso_5_usages_input,ep_conso_5_usages_output,ep_conso_5_usages_diff,ep_conso_5_usages_m2_input,ep_conso_5_usages_m2_output,ep_conso_5_usages_m2_diff,emission_ges_5_usages_input,emission_ges_5_usages_output,emission_ges_5_usages_diff,emission_ges_5_usages_m2_input,emission_ges_5_usages_m2_output,emission_ges_5_usages_m2_diff,runFailed
2561E0059504D,7,2.4,LICIEL Diagnostics v4 [Version XML:305],3cl_tribu_2024.6.1.0,70,ballon électrique à accumulation vertical catégorie b ou 2 étoiles,70,ballon électrique à accumulation vertical catégorie b ou 2 étoiles,97,chaudière gaz à condensation après 2015,,,1285.68625,1285.6949999999997,0,49.178999999999995,49.178999999999995,0,93.134,93.134,0,22.0163934426229,22.01639344262295,0,18.3015,18.301499999999997,0,348.9458335131445,348.94848646090065,0,155.12203351314452,155.12468646090065,0,204.25199999999995,204.25199999999995,0,79.0301,79.03009999999999,0,10812.263980518,10812.263980518,0,100180.76462906126,100181.46019168892,0,17506.23012011226,17506.230120112254,0,133911.81349836892,133847.45175351235,0.05,701.5513621815742,701.5540709699095,0,0,0,0,210.37960572102867,210.38106640254674,0,0,0,0,1248.4533000000001,1248.4533000000001,0,181418.5075908031,181354.15543572718,0.04,346,346,0,31742.35564508281,31727.745795846437,0.05,60,60,0,OK
2433E0750826I,9,2.3,LICIEL Diagnostics v4 [Version XML:279],3cl_tribu_1.4.25.1,48,chaudière gaz standard 1991-2000,,,88,chaudière gaz standard 1991-2000,,,549.08,549.08,0,61.128,61.128,0,101.09619296400001,101.0961938472943,0,118.5723,118.5723,0,0,0,0,845.0620619807726,845.0620619807726,0,164.2885619807726,164.2885619807726,0,630.2199999999999,630.2199999999999,0,95.63419,95.63418999999998,0,46156.551777140005,46156.551777140005,0,67063.06424790666,67627.1848571466,0.84,67890.5190144801,67890.51901448012,0,121722.9242053233,122517.18666369589,0.65,890.9313215143967,890.9314505420732,0,6461.917248799602,6461.917248799601,0,124.06666885862732,125.1102919857212,0.84,85.389620787709,85.389620787709,0,8068.367339999999,8068.36734,0,231071.17749771217,231867.84058604075,0.34,190,191,0.53,44207.83027823284,44388.194656421314,0.41,36,36,0,OK
2376E0043176Q,7,2.2,LICIEL Diagnostics v4 [Version XML:211],3cl_tribu_1.4.25.1,70,ballon électrique à accumulation vertical catégorie b ou 2 étoiles,70,ballon électrique à accumulation vertical catégorie b ou 2 étoiles,97,chaudière gaz à condensation après 2015,,,273.6114808303462,273.61154761904754,0,281.936,281.936,0,108.08166666666666,108.08166666666668,0,692.5,692.5,0,5.1345,5.134499999999999,0,913.02210525023,913.02210525023,0,119.18670525022993,119.18670525022993,0,7.15,7.15,0,387.797819,387.79781919999994,0,19225.621330902002,19225.621330902002,0,93232.57650877011,94944.47465009346,1.84,28763.54278362077,9587.847594540257,66.67,131971.9157619112,134007.32675233379,1.54,1591.3454283678072,1591.3457651700533,0,0,0,0,140.1674270974676,156.6583831726542,11.77,0,0,0,0,0,0,206661.8527318091,164631.0947609646,20.34,197,157,20.3,32074.61125163897,31291.28480191882,2.44,30,29,3.33,KO
2575E0696729I,9,2.4,LICIEL Diagnostics v4 [Version XML:309],3cl_tribu_2024.6.1.0,49,chaudière gaz standard 2001-2015,,,89,chaudière gaz standard 2001-2015,,,797.6868,797.6868,0,680.4227999999998,680.4227999999998,0,11.86866654,11.868666666666668,0,72,72,0,31.204,31.203999999999997,0,861.0638537734205,861.0643084089138,0,72.85885377342049,72.85930840891372,0,480.75179999999995,480.7518,0,824.451625,824.4516248,0,28101.80498433,28101.80498433,0,114129.38343448359,114129.35703372967,0,64853.594808413465,64853.594808413465,0,170809.3565082776,170567.04178516357,0.14,2197.569469053798,2197.5692267596905,0,221.86131313979865,221.86131313979865,0,205.43289018207045,205.43284266071342,0,50.583248971794,50.583248971794,0,9341.620200000001,9341.6202,0,269409.7406957902,269167.42530610063,0.09,191,191,0,54447.8082946551,54392.802833960035,0.1,38,38,0,OK
2375E0263476R,9,2.2,LICIEL Diagnostics v4 [Version XML:212],3cl_tribu_1.4.25.1,49,chaudière gaz standard 2001-2015,,,89,chaudière gaz standard 2001-2015,,,1130.8062,1130.8062,0,214.5,214.5,0,53.976,53.976000000000006,0,13.466,13.466000000000001,0,8.89,8.89,0,494.5450214623205,494.5450214623206,0,171.4090214623205,171.40902146232057,0,130.7842,130.7842,0,362.204044,362.204044,0,6245.8638717720005,6245.8638717720005,0,88232.19747589526,88232.21992312619,0,29913.028060220466,29913.028060220462,0,137324.86294981305,137134.77545219642,0.14,1215.115887526482,1215.1160480407075,0,0,0,0,166.38071524025963,166.38075756932366,0,11.7779147296272,11.7779147296272,0,0,0,0,173885.24640027515,173695.1593691981,0.11,219,219,0,38155.45554839738,38112.30569942037,0.11,48,48,0,OK
2392E3458920A,9,2.3,LICIEL Diagnostics v4 [Version XML:268],3cl_tribu_1.4.25.1,60,accumulateur gaz classique après 2000,,,89,chaudière gaz standard 2001-2015,,,1035.93,1035.93,0,222.06100000000004,222.06100000000004,0,46.3421055,46.3421052631579,0,187.5,187.5,0,14,14,0,261.55085688644476,261.5504723198526,0,139.9668568864448,139.9664723198526,0,162.1074,162.1074,0,243.920603,243.92060319999993,0,4454.130361968,4454.130361968,0,98927.87748645188,99323.70713304519,0.4,25693.089294183836,25693.08929418384,0,151586.5544824513,151954.70396228004,0.24,649.402972351155,649.402999811953,0,0,0,0,184.66537130804352,185.40425331501768,0.4,0,0,0,0,0,0,180493.40696705127,180863.2559386559,0.2,605,606,0.17,40334.72169129036,40418.33891341742,0.21,135,135,0,OK
2478E2823182B,7,2.4,LICIEL Diagnostics v4 [Version XML:299],3cl_tribu_1.4.25.1,69,ballon électrique à accumulation vertical autres ou inconnue,69,ballon électrique à accumulation vertical autres ou inconnue,88,chaudière gaz standard 1991-2000,,,1158.91748,1158.9185829707894,0,586.2420000000001,586.2420000000001,0,125.91,125.91000000000001,0,209.090909090909,209.0909090909091,0,0,0,0,1007.7982896762468,1007.7982896762468,0,92.18168967624669,92.18168967624669,0,527.866,527.866,0,826.673328,826.6733280000001,0,22227.118642722005,22227.118642722005,0,148623.85228491327,148623.9383199491,0,33775.45135071247,33775.45135071249,0,245427.21762559007,244684.41456333242,0.3,1597.2613585379743,1597.2618040937898,0,0,0,0,251.18769989774535,251.18784530470683,0,0,0,0,10851.672504000002,10851.672504,0,358263.38432583085,357520.5826227877,0.21,262,261,0.38,58898.46098880115,58729.84473149028,0.29,43,42,2.33,OK
2476E2334075E,9,2.3,LICIEL Diagnostics v4 [Version XML:292],3cl_tribu_1.4.25.1,56,chaudière gaz à condensation 2001-2015,,,96,chaudière gaz à condensation 2001-2015,,,235.6558283758471,235.65594855305466,0,264.912,264.912,0,123.167325192,123.16732631578947,0,55.561836,55.561836,0,0,0,0,677.2248091440129,677.2248091440129,0,248.96774514401287,248.9677451440129,0,183.11999999999998,183.11999999999998,0,734.318384,734.3183839999999,0,19011.094465783135,19011.094465783135,0,48040.769639792125,48040.77518851174,0,56797.238232885655,56797.238232885655,0,71406.78165305188,78930.74394548204,10.54,1526.0528651295404,955.1538326393514,37.41,210.38812216334722,210.38812216334716,0,79.77679322001845,79.77680243425586,0,31.569938688633812,31.569938688633812,0,5075.601956160001,2758.479324,45.65,148543.45526926906,149424.96775419655,0.59,146,147,0.68,29677.87862723096,31200.984681664708,5.13,29,30,3.45,KO
2391E3473472R,9,2.3,LICIEL Diagnostics v4 [Version XML:265],3cl_tribu_1.4.25.1,73,réseau de chaleur isolé,,,108,réseau de chaleur isolé,,,3432.1478947368414,3432.1478947368414,0,3406.1159999999995,3406.1160000000004,0,213.537229112,213.5372258953168,0,362.792,362.79200000000003,0,229.786,229.786,0,4089.2061546610657,4089.202364486977,0,720.4098246610654,720.4060344869768,0,2310.696573638054,2271.5861737899995,1.69,5089.649248,5089.649248,0,78656.2991536329,78656.2991536329,0,543814.8104374186,541622.1964936078,0.4,168069.01528554037,168069.0152855404,0,721516.8025889313,718854.3227310431,0.37,8118.848910232702,8103.556515888924,0.19,341.508495584715,341.508495584715,0,0,0,0,0,0,0,0,0,0,928359.0129578519,925661.3605929727,0.29,208,208,0,81183.61767417476,80943.01577372682,0.3,18,18,0,OK
2576E0070057P,9,2.4,LICIEL Diagnostics v4 [Version XML:305],3cl_tribu_2024.6.1.0,56,chaudière gaz à condensation 2001-2015,,,96,chaudière gaz à condensation 2001-2015,,,1816.4652575999999,1816.469723215273,0,446.15000000000003,446.15000000000003,0,112.78315897,112.78315789473685,0,42.037037037037,42.03703703703704,0,14.2275,14.2275,0,857.159753820737,857.159753820737,0,278.309753820737,278.309753820737,0,1586.217,1586.2169992699999,0,922.72928,922.7292799999998,0,23840.137045410007,23840.137045410007,0,222723.41398338013,222723.67525893287,0,43227.263067475404,43227.2630674754,0,290567.23417792225,324572.2686944265,11.7,2608.802000227107,1706.390678497843,34.59,3337.619186357401,3337.6191863574013,0,251.7079678579296,367.49406417723924,46,26.94262063351131,39.33622612492651,46,6860.394000000001,6860.394,0,368824.9135280723,401049.2153187639,8.74,324,353,8.95,76756.83603431015,84426.4280458818,9.99,67,74,10.45,KO
2325E3871326F,9,2.3,LICIEL Diagnostics v4 [Version XML:268],3cl_tribu_1.4.25.1,76,chaudière(s) gaz multi bâtiment modélisée comme un réseau de chaleur,,,111,chaudière(s) gaz multi bâtiment modélisée comme un réseau de chaleur,,,683.3974999999999,683.3975008750001,0,692.2080000000001,692.2080000000001,0,62.66083023295775,62.660830985915496,0,130.8,130.8,0,6.8614,6.8614,0,1266.7095216276457,1266.7095216927491,0,57.050721627645494,57.05072169274909,0,363.4458,363.4458,0,1259.642208,1259.6422080000002,0,33810.7376384344,33810.7376384344,0,174733.50045145443,174733.5416207722,0,45262.031644490504,45262.031644490504,0,253140.48238520473,253140.53895678534,0,3273.9208311226143,3273.921198313079,0,0,0,0,0,0,0,0,0,0,14336.591472000004,14336.591471999998,0,346631.7634148773,346631.8208309959,0,191,191,0,69096.19560478067,116243.81462503123,68.23,38,64,68.42,KO
2438E1107481A,9,2.3,LICIEL Diagnostics v4 [Version XML:282],3cl_tribu_1.4.25.1,73,réseau de chaleur isolé,,,108,réseau de chaleur isolé,,,232.2,232.20000000000005,0,124.74000000000001,124.74000000000001,0,11.4588,11.458800000000002,0,56.808,56.80800000000001,0,3.9690000000000003,3.969,0,451.6020339527407,451.6020339527407,0,95.2657139527407,95.2657139527407,0,316.5968,316.5968,0,425.753952,425.753952,0,16737.604712414883,16737.604712414883,0,37093.0871964425,37093.06756696303,0,35764.112633365134,35764.112633365134,0,51418.01835729625,51417.9921645876,0,554.9493610649231,554.9492357421873,0,191.22017538742782,191.22017538742782,0,0,0,0,0,0,0,4223.2142208000005,4223.2142208000005,0,102227.0126819418,102226.98620099085,0,120,120,0,8272.891321111674,8272.888955747241,0,9,9,0,OK
