code,enum_methode_application_dpe_log_id,version_dpe,version_logiciel,version_moteur_calcul,type_generateur_ecs_1_id,type_generateur_ecs_1_label,type_generateur_ecs_2_id,type_generateur_ecs_2_label,type_generateur_ch_1_id,type_generateur_ch_1_label,type_generateur_ch_2_id,type_generateur_ch_2_label,deperdition_mur_input,deperdition_mur_output,deperdition_mur_diff,deperdition_baie_vitree_input,deperdition_baie_vitree_output,deperdition_baie_vitree_diff,deperdition_plancher_bas_input,deperdition_plancher_bas_output,deperdition_plancher_bas_diff,deperdition_plancher_haut_input,deperdition_plancher_haut_output,deperdition_plancher_haut_diff,deperdition_porte_input,deperdition_porte_output,deperdition_porte_diff,deperdition_renouvellement_air_input,deperdition_renouvellement_air_output,deperdition_renouvellement_air_diff,hperm_input,hperm_output,hperm_diff,deperdition_pont_thermique_input,deperdition_pont_thermique_output,deperdition_pont_thermique_diff,surface_sud_equivalente_input,surface_sud_equivalente_output,surface_sud_equivalente_diff,besoin_ecs_input,besoin_ecs_output,besoin_ecs_diff,besoin_ch_input,besoin_ch_output,besoin_ch_diff,conso_ecs_input,conso_ecs_output,conso_ecs_diff,conso_ch_input,conso_ch_output,conso_ch_diff,conso_auxiliaire_distribution_ch_input,conso_auxiliaire_distribution_ch_output,conso_auxiliaire_distribution_ch_diff,conso_auxiliaire_distribution_ecs_input,conso_auxiliaire_distribution_ecs_output,conso_auxiliaire_distribution_ecs_diff,conso_auxiliaire_generation_ch_input,conso_auxiliaire_generation_ch_output,conso_auxiliaire_generation_ch_diff,conso_auxiliaire_generation_ecs_input,conso_auxiliaire_generation_ecs_output,conso_auxiliaire_generation_ecs_diff,conso_auxiliaire_ventilation_input,conso_auxiliaire_ventilation_output,conso_auxiliaire_ventilation_diff,ep_conso_5_usages_input,ep_conso_5_usages_output,ep_conso_5_usages_diff,ep_conso_5_usages_m2_input,ep_conso_5_usages_m2_output,ep_conso_5_usages_m2_diff,emission_ges_5_usages_input,emission_ges_5_usages_output,emission_ges_5_usages_diff,emission_ges_5_usages_m2_input,emission_ges_5_usages_m2_output,emission_ges_5_usages_m2_diff,runFailed
2337E4132658X,6,2.3,LICIEL Diagnostics v4 [Version XML:268],3cl_tribu_1.4.25.1,56,chaudière gaz à condensation 2001-2015,56,chaudière gaz à condensation 2001-2015,96,chaudière gaz à condensation 2001-2015,96,chaudière gaz à condensation 2001-2015,358.78454999999997,358.78454999999997,0,362.538,362.538,0,64.515,64.515,0,17.906976744186,17.906976744186046,0,13.689,13.689,0,678.2172588320693,678.2123549560013,0,233.90525883206934,233.90035495600125,0,113.08500000000001,113.08500000000001,0,627.225022,627.22502172,0,20513.549527884003,20513.549527884003,0,42989.706964775556,42994.95740637045,0.01,33581.27288899005,33581.27288899005,0,68594.0378036823,67715.34194922903,1.28,3036.42,2093.537433716723,31.05,0,0,0,102.42493630379191,20.487489144041113,80,47.442247792869985,13.178402164686101,72.22,2861.8920000000003,2861.892,0,120478.5924360947,117164.0037057776,2.75,121,118,2.48,23712.653083618803,23445.40775767736,1.13,23,23,0,OK
2475E0153117D,6,2.3,4.1.1,3cl_tribu_1.4.25.1,71,ballon électrique à accumulation vertical catégorie c ou 3 étoiles,71,ballon électrique à accumulation vertical catégorie c ou 3 étoiles,100,"radiateur électrique nfc, nf** et nf***",100,"radiateur électrique nfc, nf** et nf***",2425.84036,2425.8403599999997,0,846.6275,846.6274999999999,0,146.59,146.59,0,906.75,906.75,0,51.765,51.765,0,967.598391705737,967.5983917057367,0,110.832391705737,110.83239170573665,0,225.8833,229.47130000000004,1.59,908.4866899,908.4866899000001,0,20598.06170478,20598.06170478,0,255814.685770519,257055.47748459448,0.49,37283.5727650583,33434.03325348148,10.33,213919.950505702,214933.44056092598,0.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,582680.213522748,576157.2997731371,1.12,515,509,1.17,19469.9,19300.31726578945,0.87,17,17,0,KO
2368E4305142C,6,2.3,4.1.1,3cl_tribu_1.4.25.1,49,chaudière gaz standard 2001-2015,,,89,chaudière gaz standard 2001-2015,,,617.79336,617.79336,0,158.8608,158.8608,0,25.956,25.956000000000007,0,414.608,414.608,0,42,42,0,499.100310503433,499.10031050343343,0,109.597806503433,109.59780650343336,0,121.6779,121.67790000000002,0,301.98700544,301.98700543999996,0,10083.8014690871,10083.801469087137,0,88201.1579130624,88203.26923304045,0,16029.8922048953,16029.892204895341,0,121072.572300226,121529.4704828069,0.38,1494.79091505437,985.4386922527236,34.08,0,0,0,218.14184553607,218.14706731827138,0,24.939571254316,3.1174464067895067,87.5,0,0,0,143250.829877565,142486.03907065114,0.53,278,277,0.36,31295.8224,31367.742105566987,0.23,60,61,1.67,OK
2349E1999127M,6,2.2,LICIEL Diagnostics v4 [Version XML:256],3cl_tribu_1.4.25.1,70,ballon électrique à accumulation vertical catégorie b ou 2 étoiles,70,ballon électrique à accumulation vertical catégorie b ou 2 étoiles,99,"panneau rayonnant électrique nfc, nf** et nf***",,,98.6652,98.66520000000001,0,77.66399999999999,77.66399999999999,0,59.9327438016529,59.9327438016529,0,69.12,69.12,0,18.9,18.900000000000002,0,230.24684299245428,230.24684299245425,0,78.47084299245425,78.47084299245424,0,103.76499999999999,103.76499999999997,0,218.8719,218.87190000000004,0,7037.010517655999,7037.010517655999,0,20840.968721022662,20840.965997903877,0,9006.305405476192,9006.305405476192,0,19848.330241134892,19848.32777507456,0,0,0,0,0,0,0,0,0,0,0,0,0,1798.8134400000001,1798.81344,0,72100.19457920548,72100.18890726671,0,200,200,0,2316.469850965609,2316.4696561468427,0,6,6,0,OK
2441E1907996E,6,2.3,LICIEL Diagnostics v4 [Version XML:288],3cl_tribu_1.4.25.1,49,chaudière gaz standard 2001-2015,50,chaudière gaz standard après 2015,89,chaudière gaz standard 2001-2015,90,chaudière gaz standard après 2015,70.79988148424138,70.79988148424138,0,82.815,82.815,0,32.57289482,33.709736842105265,3.49,20.29201,20.29201,0,19.0155,19.015500000000003,0,155.41370369301015,155.41370369301015,0,59.957003693010144,59.957003693010144,0,94.4168,94.4168,0,147.056636,147.0566364,0,3541.7406709146007,3541.7406709146007,0,16891.95635617115,16949.75191942915,0.34,6245.724157170558,4628.428313944858,25.89,25267.381579153178,25097.98040716641,0.67,506.07,337.38,33.33,0,0,0,48.41102747242083,24.71809629386191,48.94,10.150352114614453,7.122834015950474,29.83,1131.3303480000002,1131.3303480000002,0,36227.97748277392,33991.83643422384,6.17,197,185,6.09,7286.44134590106,6868.3548546940865,5.74,39,37,5.13,KO
2301E4323901A,6,2.3,LICIEL Diagnostics v4 [Version XML:270],3cl_tribu_1.4.25.1,70,ballon électrique à accumulation vertical catégorie b ou 2 étoiles,70,ballon électrique à accumulation vertical catégorie b ou 2 étoiles,99,"panneau rayonnant électrique nfc, nf** et nf***",98,"convecteur électrique nfc, nf** et nf***",454.8775,454.8775,0,89.132,89.132,0,15.048,15.048,0,15.03,15.03,0,12.446,12.446,0,313.9167171018197,313.9167171018197,0,26.84703310181967,26.84703310181967,0,89.6604,89.66040000000001,0,156.568436,156.568436,0,7283.950936671529,7283.950936671529,0,39553.77352406398,39553.7681778404,0,11199.195308248956,11199.195308248956,0,37947.21400673347,37947.20921608404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114656.26878621956,114656.2577677259,0,302,302,0,3774.3634224209263,3774.3630439596222,0,9,9,0,OK
2475E1338580W,6,2.3,LICIEL Diagnostics v4 [Version XML:284],3cl_tribu_1.4.25.1,117,chauffe-eau électrique instantané,71,ballon électrique à accumulation vertical catégorie c ou 3 étoiles,104,radiateur électrique à accumulation,104,radiateur électrique à accumulation,191.28914424080742,191.28914424080742,0,624.6604,624.6604,0,197.715789,197.7157894736842,0,904.75,904.7499999999999,0,10.758,10.758,0,1336.7940730951752,1336.7940730951752,0,499.3740730951752,499.3740730951752,0,416.6436,416.6436,0,827.804208,827.8042079999999,0,33740.495735772005,33740.495735772005,0,149862.68462631528,149434.3522578224,0.29,49706.07445947157,65012.42967092605,30.79,136747.31554558183,136356.4692961725,0.29,0,0,0,0,0,0,0,0,0,0,0,0,9924.9048,9924.9048,0,458807.8520516229,493113.52266432653,7.48,279,300,7.53,14883.25989516662,15847.296130207824,6.48,9,9,0,KO
2595E0143083A,6,2.4,LICIEL Diagnostics v4 [Version XML:305],3cl_tribu_2024.6.1.0,50,chaudière gaz standard après 2015,50,chaudière gaz standard après 2015,90,chaudière gaz standard après 2015,90,chaudière gaz standard après 2015,3998.075,3998.08,0,1451.3400000000001,1451.3400000000001,0,61.54909090909091,61.549090909090914,0,79.1,79.1,0,64.728,64.728,0,1487.5182006096832,1534.271209235983,3.14,765.5112006096832,812.2642092359831,6.11,1475.396,1475.3960007299997,0,2608.44324,2608.4432400000005,0,38137.34561469,38137.34561469,0,372785.2217178756,375388.0840491618,0.7,47006.73449857871,47006.82998120708,0,343200.5210137099,358659.9826158038,4.5,4873.931131775787,5214.7677279211475,6.99,0,0,0,895.6403916657679,405.22662389044115,54.76,64.24662530348596,8.700081968351157,86.46,1429.02853236,1426.17618,0.2,414801.6078788301,429782.82000870473,3.61,228,236,3.51,89278.56333888024,92774.57232880338,3.92,49,51,4.08,OK
2392E1620721B,6,2.2,LICIEL Diagnostics v4 [Version XML:253],3cl_tribu_1.4.25.1,70,ballon électrique à accumulation vertical catégorie b ou 2 étoiles,,,88,chaudière gaz standard 1991-2000,100,"radiateur électrique nfc, nf** et nf***",699.8956000000002,699.8956000000002,0,120.25,120.25,0,78.29655,79.85555,1.99,9.59,9.590000000000002,0,9.6425,9.642499999999998,0,262.96742306028557,262.96485928300444,0,126.45062306028555,126.4480592830044,0,57.022800000000004,57.022800000000004,0,289.77227,289.77227000000005,0,3101.8527181236004,3101.8527181236004,0,56915.371179294925,57005.54082746153,0.16,5655.165503358709,5655.16550335871,0,74561.48862076452,74562.72991373058,0,593.8977150493147,601.6584214275549,1.31,0,0,0,92.01715240033288,70.95388980470456,22.89,0,0,0,0,0,0,105151.23436950779,105142.34598050964,0.01,314,314,0,15724.029954463376,15721.130366518228,0.02,46,46,0,OK
2519E0651422P,6,2.4,LICIEL Diagnostics v4 [Version XML:308],3cl_tribu_2024.6.1.0,57,chaudière gaz à condensation après 2015,71,ballon électrique à accumulation vertical catégorie c ou 3 étoiles,97,chaudière gaz à condensation après 2015,99,"panneau rayonnant électrique nfc, nf** et nf***",102.09263157894743,102.09263157894736,0,69.86400000000002,69.86400000000002,0,54.65915492957749,54.65915492957747,0,15.5555555555556,15.555555555555555,0,23.354999999999997,23.355,0,112.50196928668842,112.50196928668842,0,46.24276928668842,46.24276928668841,0,61.3045,61.3045,0,113.45284,113.45284000000001,0,2710.2151909392,2710.2151909392,0,17413.948627389287,17413.940057257914,0,3559.1664547103196,3559.16645471032,0,17332.734680794896,17319.370012657982,0.08,156.3,156.3,0,0,0,0,21.186970829990305,10.593480201498565,50,3.297428482309361,3.2974284823093605,0,426.7872,426.7872,0,35425.51631856807,35387.782040358616,0.11,210,210,0,3364.0563055588386,3360.345064092149,0.11,20,20,0,OK
