code,enum_methode_application_dpe_log_id,version_dpe,version_logiciel,version_moteur_calcul,type_generateur_ecs_1_id,type_generateur_ecs_1_label,type_generateur_ecs_2_id,type_generateur_ecs_2_label,type_generateur_ch_1_id,type_generateur_ch_1_label,type_generateur_ch_2_id,type_generateur_ch_2_label,deperdition_mur_input,deperdition_mur_output,deperdition_mur_diff,deperdition_baie_vitree_input,deperdition_baie_vitree_output,deperdition_baie_vitree_diff,deperdition_plancher_bas_input,deperdition_plancher_bas_output,deperdition_plancher_bas_diff,deperdition_plancher_haut_input,deperdition_plancher_haut_output,deperdition_plancher_haut_diff,deperdition_porte_input,deperdition_porte_output,deperdition_porte_diff,deperdition_renouvellement_air_input,deperdition_renouvellement_air_output,deperdition_renouvellement_air_diff,hperm_input,hperm_output,hperm_diff,deperdition_pont_thermique_input,deperdition_pont_thermique_output,deperdition_pont_thermique_diff,surface_sud_equivalente_input,surface_sud_equivalente_output,surface_sud_equivalente_diff,besoin_ecs_input,besoin_ecs_output,besoin_ecs_diff,besoin_ch_input,besoin_ch_output,besoin_ch_diff,conso_ecs_input,conso_ecs_output,conso_ecs_diff,conso_ch_input,conso_ch_output,conso_ch_diff,conso_auxiliaire_distribution_ch_input,conso_auxiliaire_distribution_ch_output,conso_auxiliaire_distribution_ch_diff,conso_auxiliaire_distribution_ecs_input,conso_auxiliaire_distribution_ecs_output,conso_auxiliaire_distribution_ecs_diff,conso_auxiliaire_generation_ch_input,conso_auxiliaire_generation_ch_output,conso_auxiliaire_generation_ch_diff,conso_auxiliaire_generation_ecs_input,conso_auxiliaire_generation_ecs_output,conso_auxiliaire_generation_ecs_diff,conso_auxiliaire_ventilation_input,conso_auxiliaire_ventilation_output,conso_auxiliaire_ventilation_diff,ep_conso_5_usages_input,ep_conso_5_usages_output,ep_conso_5_usages_diff,ep_conso_5_usages_m2_input,ep_conso_5_usages_m2_output,ep_conso_5_usages_m2_diff,emission_ges_5_usages_input,emission_ges_5_usages_output,emission_ges_5_usages_diff,emission_ges_5_usages_m2_input,emission_ges_5_usages_m2_output,emission_ges_5_usages_m2_diff,runFailed
2606E0017721A,13,2.6,LICIEL Diagnostics v4 [Version XML:319],BBS_Slama_2025.11.1.0,56,chaudière gaz à condensation 2001-2015,,,96,chaudière gaz à condensation 2001-2015,,,238.39000000000001,238.39000000000001,0,364.1400000000001,364.14000000000004,0,124.07,124.07,0,65.7964864864865,65.79648648648647,0,0,0,0,668.5119243040829,668.5119243040829,0,95.03066030408273,95.03066030408273,0,498.741,498.741,0,880.804584,880.804584,0,25176.30557856423,25176.30557856423,0,32148.801862619766,32148.81579513328,0,1442.6770595124576,1442.6770595124576,0,1327.338165361866,1324.6454341367396,0.2,36.42790660870559,36.4279127219731,0,8.28087316447538,0,100,1.8910863666432112,1.8910871861943244,0,1.8100428899413847,1.810042889941385,0,117.80338499999999,117.803385,0,3263.745196930879,3245.318819865604,0.56,66,65,1.52,645.8925832983765,644.7513578714467,0.18,13,13,0,OK
2675E0004081B,11,2.6,LICIEL Diagnostics v4 [Version XML:319],BBS_Slama_2025.11.1.0,70,ballon électrique à accumulation vertical catégorie b ou 2 étoiles,70,ballon électrique à accumulation vertical catégorie b ou 2 étoiles,108,réseau de chaleur isolé,,,11877.16,11877.16,0,73.44000000000003,73.44000000000001,0,322.46279999999996,322.4628,0,1080.4452,1080.4451999999999,0,0,0,0,8402.457725654258,8402.457725654258,0,3027.502105654257,3027.502105654257,0,2148.014,2148.0139999999997,0,107.88646,107.88646000000001,0,190732.9616061975,190732.9616061975,0,1153265.1154063167,1177704.5352602736,2.12,1382.1872707859325,5081.028625108851,267.61,5910.339570865898,6035.588542955857,2.12,119.15591203396762,67.11875385736576,43.67,0,0,0,0,0,0,0,0,0,0,0,0,8862.362318223708,15916.539262991666,79.6,319,574,79.94,1176.7623098688525,1436.6519326969126,22.09,42,51,21.43,KO
2314E3597620Q,33,2.3,DPEWIN V5.1.7,3cl_tribu_1.4.25.1,70,ballon électrique à accumulation vertical catégorie b ou 2 étoiles,,,99,"panneau rayonnant électrique nfc, nf** et nf***",,,89.968,89.96778407557355,0,280.562,280.56168,0,92.495,92.49545454545454,0,67.59,67.59036144578313,0,0,0,0,474.041,474.0368688702506,0,147.212,147.21224530957747,0,252.193,252.193,0,438.087,438.08739744,0,15129.26,15129.2648660643,0,42745.04,42744.86149780449,0,2154.2,2338.9302981321007,8.58,2529.2,3674.688936176293,45.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11086.5,14145.829688909304,27.6,153,195,27.45,349.3,451.76605883651365,29.33,4,6,50,KO
2684E0024134R,13,2.6,LICIEL Diagnostics v4 [Version XML:319],BBS_Slama_2025.11.1.0,76,chaudière(s) gaz multi bâtiment modélisée comme un réseau de chaleur,,,111,chaudière(s) gaz multi bâtiment modélisée comme un réseau de chaleur,,,903.8844086021502,903.8844086021505,0,968.116,968.116,0,666.1792289566215,666.1792288586105,0,81.62,81.62,0,0,0,0,1600.251698993517,1600.251698993517,0,580.7276989935168,580.7276989935168,0,514.6000000000001,514.6000000000003,0,1799.282656,1799.2826559999999,0,41503.77547929201,41503.77547929201,0,108606.44924718121,108606.47479613575,0,4601.854709082779,4601.85470908278,0,3572.4210500231356,3572.421854205357,0,42.957211383498084,42.957215293241724,0,7.144721099348521,0,100,0,0,0,0,0,0,190.53,190.52999999999997,0,8912.651730823323,8899.077572345297,0.15,118,118,0,1881.1721439959447,3172.2507616447,68.63,25,42,68,KO
2314E3333378M,33,2.3,DPEWIN V5.1.7,3cl_tribu_1.4.25.1,56,chaudière gaz à condensation 2001-2015,,,96,chaudière gaz à condensation 2001-2015,,,1118.413,1118.4127155172414,0,906.146,906.1464000000001,0,145.021,145.0204705882353,0,35.351,35.35096153846153,0,3.6,3.5999999999999996,0,1504.16,1504.1733169909407,0,872.657,872.648182086084,0,1253.657,1281.6250000000002,2.23,1573.512,1573.5120984000002,0,33364.73,33364.735766964004,0,194699.3,196278.07576312276,0.81,2021.6,1951.2546701571218,3.48,7558.1,9199.129111383461,21.71,0,225.93630363504568,100,0,0,0,0,0.5837023216434747,100,0,0.1043629291258816,100,41.5,5.04298746,87.85,10516.9,11944.038701135956,13.57,175,199,13.71,2201.2,2553.7884292158446,16.02,36,42,16.67,KO
2349E4107362L,10,2.3,LICIEL Diagnostics v4 [Version XML:268],3cl_tribu_1.4.25.1,70,ballon électrique à accumulation vertical catégorie b ou 2 étoiles,70,ballon électrique à accumulation vertical catégorie b ou 2 étoiles,98,"convecteur électrique nfc, nf** et nf***",98,"convecteur électrique nfc, nf** et nf***",158.07137931034487,158.07241379310346,0,94.02899999999998,94.02899999999998,0,38.587650000000004,38.58765000000001,0,13.9482712328767,13.948271232876714,0,6.84,6.840000000000001,0,314.69259822539243,314.69451532462415,0,105.77426022539241,105.77617732462413,0,217.39339999999999,217.39339999999999,0,289.6179,289.6179,0,10713.05187043115,10713.05187043115,0,24367.49252786825,25672.974647322866,5.36,2065.1736999054683,2242.028986373079,8.56,2225.1207070133755,24580.923968246538,1004.7,0,0,0,0,0,0,0,0,0,0,0,0,299.2888689600001,162.65699400000005,45.65,10653.691879769784,62189.39399643987,483.74,156,912,484.62,332.53105199874074,2149.0605549503166,546.27,4,31,675,KO
2633E0030346Q,13,2.6,LICIEL Diagnostics v4 [Version XML:319],BBS_Slama_2025.11.1.0,72,réseau de chaleur non isolé,,,107,réseau de chaleur non isolé,,,2909.695,2909.695000000001,0,1508.816,1508.816,0,646.0027721545,646.0027736842105,0,2197.5,2197.5,0,8.96175,8.96175,0,3538.498178410562,3538.498178410562,0,431.9329004105616,431.9329004105614,0,1576.7196000000001,1576.7196000000001,0,3626.139648,3626.1396479999994,0,69673.80474656426,69673.80474656426,0,418042.19747271936,418042.15764090256,0,4815.493792698033,4815.493792698035,0,10888.75439357737,10888.753447322348,0,68.09125066542693,68.09124740885436,0,0,0,0,0,0,0,0,0,0,0,0,0,16122.294870539714,16122.293918097204,0,209,209,0,548.7856774559509,548.7856450748598,0,7,7,0,OK
2675E0018872Y,13,2.6,LICIEL Diagnostics v4 [Version XML:319],BBS_Slama_2025.11.1.0,73,réseau de chaleur isolé,,,108,réseau de chaleur isolé,,,239.0888235294115,239.08882352941177,0,811.4436000000002,811.4436000000002,0,159.61971448609899,159.61971281596976,0,361.5,361.5,0,62.408,62.407999999999994,0,1670.4917256089232,1670.4917256089232,0,89.03272560892313,89.03272560892313,0,426.38999999999993,426.38999999999993,0,1472.254775,1472.2547748000002,0,49850.05878875401,49850.05878875401,0,109476.06264494533,109476.01913698793,0,3167.561754987179,3167.56175498718,0,5567.376883141275,5567.374742151536,0,125.90146399823136,125.90144429674419,0,8.114633419223681,0,100,0,0,0,0,0,0,658.2351600000002,658.2351600000001,0,10595.725027221619,10580.30504530253,0.15,107,106,0.93,1653.3735026140957,1652.8537751542378,0.03,16,16,0,OK
2380E4528531L,33,2.3,DPEWIN V5.1.6,3cl_tribu_1.4.25.1,70,ballon électrique à accumulation vertical catégorie b ou 2 étoiles,,,98,"convecteur électrique nfc, nf** et nf***",,,377.384,377.384,0,605.725,605.7249750000001,0,99.092,99.09230769230771,0,786.6,786.5999999999999,0,0,0,0,730.725,730.7004864651177,0,118.545,118.5485877309404,0,225.21,223.29,0.85,911.25,911.2494852000001,0,29227.07,29227.068617750643,0,96604.97,96499.2049382755,0.11,2246.9,2718.5807365167407,20.99,6858.5,4847.823776446804,29.32,0,0,0,0,0,0,0,0,0,0,0,0,64.2,11.378798496,82.28,22159.3,17767.96761635695,19.82,284,227,20.07,722.5,570.5860493166297,21.03,9,7,22.22,KO
2675E0017009H,13,2.6,LICIEL Diagnostics v4 [Version XML:319],BBS_Slama_2025.11.1.0,73,réseau de chaleur isolé,,,108,réseau de chaleur isolé,,,700.98,700.98,0,846.722,846.722,0,73.09846212,73.09846153846154,0,225.6,225.6,0,87.464,87.464,0,2173.3097427814428,2173.3097427814428,0,160.33974278144254,160.33974278144254,0,904.3878000000001,904.3878000000001,0,1270.751914,1270.7519140000002,0,72840.15346570201,72840.15346570201,0,166790.59825735906,166790.61189223302,0,2805.6623409786816,2805.662340978682,0,4159.137414700775,4159.137743109452,0,94.45171842767812,94.4517217597859,0,5.8187368927434955,0,100,0,0,0,0,0,0,441.2412000000001,441.24120000000005,0,8255.814900788257,8244.759635431727,0.13,113,112,0.88,322.76866616768524,43.804276992626306,86.43,4,0,100,KO
2693E0077717X,34,2.6,DPEWIN V5.4.0,3cl_bbs_V2025.11.1.0,56,chaudière gaz à condensation 2001-2015,,,96,chaudière gaz à condensation 2001-2015,,,321.773,321.77333500000003,0,508.04,508.0400000000001,0,207.923,212.88864536231884,2.39,157.611,157.6106,0,0,0,0,1462.828,1462.8671723148052,0,187.094,187.09272787036065,0,875.135,875.135,0,877.929,877.9290856959998,0,63933.86,63933.86319038292,0,99246.41,99497.99984301109,0.25,1842.9,1529.629940624377,17,1953.5,1953.8246558492328,0.02,0,230.66332220702353,100,0,0,0,0,0.035440571284477834,100,0,1.581402601687929,100,118.3,1.7039783807999997,98.56,4318,4095.293249619122,5.16,92,87,5.43,879.8,811.7936764002004,7.73,18,17,5.56,KO
2675E0018774E,10,2.6,LICIEL Diagnostics v4 [Version XML:319],BBS_Slama_2025.11.1.0,49,chaudière gaz standard 2001-2015,,,89,chaudière gaz standard 2001-2015,,,1264.2732,1264.2732,0,488.3,488.30000000000007,0,92.0505256,92.05052631578948,0,164.39999999999998,164.39999999999998,0,99.528,99.52799999999999,0,1328.3709169702388,1328.3713630112566,0,190.56091697023888,190.5613630112567,0,745.776,745.7760000000001,0,864.809644,864.8096440000002,0,41798.714091246,41798.714091246,0,163964.67474681046,163975.3601457309,0.01,2089.228206901674,1628.6153679317567,22.05,5502.480605152034,207019.82618440746,3662.3,134.63151363944087,81.19167268105099,39.69,0,0,0,9.367741068331823,9.368351553794335,0.01,2.9648693971264053,2.9648693971264057,0,362.664,362.664,0,8775.462247853016,209730.66045023996,2289.97,146,3495,2293.84,1763.758700278905,47400.21692157345,2587.45,29,790,2624.14,KO
2684E0010769Q,10,2.6,LICIEL Diagnostics v4 [Version XML:319],BBS_Slama_2025.11.1.0,57,chaudière gaz à condensation après 2015,57,chaudière gaz à condensation après 2015,97,chaudière gaz à condensation après 2015,97,chaudière gaz à condensation après 2015,495.324519230769,495.3307692307693,0,620.6000000000001,620.6000000000001,0,244.100693069307,244.10069306930694,0,1530,1530,0,81.432,81.432,0,2228.4549266343765,2228.458429173505,0,372.3813266343763,372.38482917350467,0,645.5440000000001,645.5440000000001,0,958.630112,958.630112,0,48397.351131225594,48397.351131225594,0,190582.19973844057,190584.662078913,0,1381.3007927251624,2895.535846932614,109.62,2696.3506928348093,237396.83258500704,8704.38,73.80402134539246,69.96616783522344,5.2,0,0,0,10.78323052187837,2.1566739684521448,80,2.4727900134599783,6.1819750336499455,150,0,0,0,4434.264769133359,240632.34678793058,5326.66,86,4718,5386.05,938.1422799424805,54558.32269236788,5715.57,18,1069,5838.89,KO
2314E4482864M,34,2.3,DPEWIN V5.1.9,3cl_tribu_1.4.25.1,73,réseau de chaleur isolé,,,107,réseau de chaleur non isolé,,,397.244,397.244,0,709.843,709.843288,0,180.941,180.94050000000001,0,44.688,44.688,0,82.035,82.0352,0,821.029,821.0296603837583,0,198.319,198.31903767313548,0,56.925,56.925,0,1168.177,1168.17652672,0,20421.64,20421.637816986,0,76535.05,76535.03278058328,0,5483.3,5003.30126516157,8.75,5737.3,5494.576000407875,4.23,0,257.14189951437635,100,0,0,0,0,0,0,0,0,0,122.7,24.25678164,80.23,12776.2,11449.384232224511,10.39,182,163,10.44,1289.4,1192.4025920720883,7.52,18,17,5.56,KO
2613E0013648Q,10,2.6,LICIEL Diagnostics v4 [Version XML:319],BBS_Slama_2025.11.1.0,52,chaudière gaz basse température 2001-2015,52,chaudière gaz basse température 2001-2015,92,chaudière gaz basse température 2001-2015,92,chaudière gaz basse température 2001-2015,254.34204999999997,254.34109999999993,0,267.652,267.652,0,72.673726083,73.08372663533835,0.56,31.5424050632911,31.54240506329113,0,10.9725,10.972499999999998,0,467.742253720454,467.742253720454,0,84.45889372045407,84.45889372045407,0,294.71009999999995,294.71009999999995,0,534.0522,534.0522,0,11698.722491729282,11698.722491729282,0,23642.067688474308,23897.278397484744,1.08,1739.9877959868659,1895.755921275186,8.95,489.9068105462115,31991.332639966036,6430.09,19.62650725810286,15.147519607020966,22.82,0,0,0,0.7906270140686874,0.26638721723681846,66.31,2.3122477796899545,3.4683401391700306,50,308.8809288,308.8809288,0,3040.582933551614,34690.46733159174,1040.92,60,692,1053.33,533.9688107415278,7719.905621814616,1345.76,10,154,1440,KO
2675E0023773L,13,2.6,LICIEL Diagnostics v4 [Version XML:319],BBS_Slama_2025.11.1.0,73,réseau de chaleur isolé,,,108,réseau de chaleur isolé,,,10808.135000000002,10808.134999999998,0,24.777,24.777,0,9.82192,9.82192,0,112,112.00000000000001,0,1.9949999999999999,1.9949999999999997,0,3066.1566823429835,3066.1566823429835,0,1077.5238823429834,1077.5238823429834,0,2340.0062,2340.00620073,0,60.012824,60.012823999999995,0,139490.250615975,139490.250615975,0,805060.4521822371,805060.4594488714,0,1506.0460188507611,1506.0460188507611,0,6899.043776537494,6899.043831633002,0,71.80598932916485,71.80598968731286,0,2.1899943217584132,0,100,0,0,0,0,0,0,86.724,86.724,0,8818.18776432501,8814.026830889656,0.05,293,293,0,1543.9247217143213,1543.784572128033,0.01,51,51,0,OK
2688E0016745Q,10,2.6,LICIEL Diagnostics v4 [Version XML:319],BBS_Slama_2025.11.1.0,71,ballon électrique à accumulation vertical catégorie c ou 3 étoiles,,,3,pac air/air installée à partir de 2015,,,106.84605623255825,106.84605623255825,0,157.9988,157.9988,0,28.79384632,30.719999999999985,6.69,14.755580000000002,14.755580000000002,0,15.075,15.075000000000001,0,359.49445199034835,359.4888001579254,0,168.82075199034833,168.81510015792537,0,527.0368662353004,527.0368659799999,0,367.39186,358.06307879999997,2.54,9276.2444062876,9276.2444062876,0,49189.035121727364,50614.506364906185,2.9,1823.3438765945518,1336.6575112508685,26.69,1644.0639466080595,14063.879189037414,755.43,158.5519669106458,0,100,0,0,0,0,0,0,0,0,0,153.49053,153.49053,0,7500.572029476964,30537.09764971839,307.13,116,474,308.62,279.72050543441316,1241.4982264925895,343.84,4,19,375,KO
2675E0018771B,10,2.6,LICIEL Diagnostics v4 [Version XML:319],BBS_Slama_2025.11.1.0,49,chaudière gaz standard 2001-2015,,,89,chaudière gaz standard 2001-2015,,,1264.2732,1264.2732,0,488.3,488.30000000000007,0,92.0505256,92.05052631578948,0,164.39999999999998,164.39999999999998,0,99.528,99.52799999999999,0,1328.3709169702388,1328.3713630112566,0,190.56091697023888,190.5613630112567,0,745.776,745.7760000000001,0,864.809644,864.8096440000002,0,41798.714091246,41798.714091246,0,163964.67474681046,163975.3601457309,0.01,1907.617399158874,1487.0443554902497,22.05,4222.445156491709,207019.82618440746,4802.84,103.31234646165511,62.30415146553554,39.69,0,0,0,7.188534724540529,7.18900319350376,0.01,2.707141531742776,2.707141531742776,0,284.08680000000004,284.08680000000004,0,7053.699718814665,209352.59302266018,2867.98,150,4454,2869.33,1423.0803387866306,47359.99125671299,3227.99,30,1007,3256.67,KO
