code,enum_methode_application_dpe_log_id,version_dpe,version_logiciel,version_moteur_calcul,type_generateur_ecs_1_id,type_generateur_ecs_1_label,type_generateur_ecs_2_id,type_generateur_ecs_2_label,type_generateur_ch_1_id,type_generateur_ch_1_label,type_generateur_ch_2_id,type_generateur_ch_2_label,deperdition_mur_input,deperdition_mur_output,deperdition_mur_diff,deperdition_baie_vitree_input,deperdition_baie_vitree_output,deperdition_baie_vitree_diff,deperdition_plancher_bas_input,deperdition_plancher_bas_output,deperdition_plancher_bas_diff,deperdition_plancher_haut_input,deperdition_plancher_haut_output,deperdition_plancher_haut_diff,deperdition_porte_input,deperdition_porte_output,deperdition_porte_diff,deperdition_renouvellement_air_input,deperdition_renouvellement_air_output,deperdition_renouvellement_air_diff,hperm_input,hperm_output,hperm_diff,deperdition_pont_thermique_input,deperdition_pont_thermique_output,deperdition_pont_thermique_diff,surface_sud_equivalente_input,surface_sud_equivalente_output,surface_sud_equivalente_diff,besoin_ecs_input,besoin_ecs_output,besoin_ecs_diff,besoin_ch_input,besoin_ch_output,besoin_ch_diff,conso_ecs_input,conso_ecs_output,conso_ecs_diff,conso_ch_input,conso_ch_output,conso_ch_diff,conso_auxiliaire_distribution_ch_input,conso_auxiliaire_distribution_ch_output,conso_auxiliaire_distribution_ch_diff,conso_auxiliaire_distribution_ecs_input,conso_auxiliaire_distribution_ecs_output,conso_auxiliaire_distribution_ecs_diff,conso_auxiliaire_generation_ch_input,conso_auxiliaire_generation_ch_output,conso_auxiliaire_generation_ch_diff,conso_auxiliaire_generation_ecs_input,conso_auxiliaire_generation_ecs_output,conso_auxiliaire_generation_ecs_diff,conso_auxiliaire_ventilation_input,conso_auxiliaire_ventilation_output,conso_auxiliaire_ventilation_diff,ep_conso_5_usages_input,ep_conso_5_usages_output,ep_conso_5_usages_diff,ep_conso_5_usages_m2_input,ep_conso_5_usages_m2_output,ep_conso_5_usages_m2_diff,emission_ges_5_usages_input,emission_ges_5_usages_output,emission_ges_5_usages_diff,emission_ges_5_usages_m2_input,emission_ges_5_usages_m2_output,emission_ges_5_usages_m2_diff,runFailed
2521E3386735A,2,2.5,LICIEL Diagnostics v4 [Version XML:317],BBS_Slama_2024.6.1.0,70,ballon électrique à accumulation vertical catégorie b ou 2 étoiles,,,22,poêle bûche installé avant 1990,99,"panneau rayonnant électrique nfc, nf** et nf***",21.5595,21.5595,0,19.169,19.169,0,28.70779566588298,28.707795632698765,0,6.7808490566037705,6.780849056603772,0,7.755,7.755,0,68.94073737079478,68.94073737079478,0,21.13622737079477,21.13622737079477,0,25.944,25.944,0,29.799392,29.799391799999995,0,1301.6267468586202,1301.6267468586202,0,9441.510533095836,9441.451388626538,0,2027.7526975386434,2027.752697538644,0,13406.30970944004,13406.23298343925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25159.77343961434,25159.657682240304,0,399,399,0,799.1432649323942,799.1394919698406,0,12,12,0,OK
2568E3389931T,2,2.5,4.1.1,3cl-2024.6.1.0,49,chaudière gaz standard 2001-2015,,,89,chaudière gaz standard 2001-2015,,,18.820625,18.820625,0,9.438,9.438000000000002,0,32.016,32.016000000000005,0,0,0,0,6.81625,6.816249999999998,0,60.8114277354658,60.811427735465784,0,0.416547735465778,0.41654773546577795,0,6.948,6.948,0,27.070758,27.07075800000001,0,1365.59511367384,1365.5951136738404,0,5318.03551510279,5318.02857486888,0,2154.39133024562,2154.391330245619,0,8019.2250362269,8167.226890088924,1.85,164.34,164.34,0,0,0,0,12.9405530867501,12.94053619884761,0,3.32294810993968,3.3229481099396785,0,715.7859072,715.7859072000001,0,12567.3894787849,12715.391293804754,1.18,158,160,1.27,2376.621,2410.338581262504,1.42,29,30,3.45,OK
2544E3380344C,2,2.5,LICIEL Diagnostics v4 [Version XML:317],BBS_Slama_2024.6.1.0,71,ballon électrique à accumulation vertical catégorie c ou 3 étoiles,,,100,"radiateur électrique nfc, nf** et nf***",,,12.501999999999999,12.501999999999999,0,14.3,14.3,0,0,0,0,0,0,0,0,0,0,24.003564831969282,24.003564831969282,0,2.0628548319692794,2.0628548319692794,0,7.005000000000001,7.005000000000001,0,23.09229,23.092289999999995,0,977.34939989435,977.34939989435,0,1577.4912348529574,1577.4912348529574,0,1420.567901129381,1420.5679011293805,0,1469.1585610662314,1469.1585610662314,0,0,0,0,0,0,0,0,0,0,0,0,0,260.0361324,260.0361324,0,7417.978701749908,7417.978701749907,0,189,189,0,230.24849439664206,230.248494396642,0,5,5,0,OK
2542E3381086O,1,2.5,LICIEL Diagnostics v4 [Version XML:317],3cl_tribu_2024.6.1.0,9,cet sur air extrait après 2014,,,3,pac air/air installée à partir de 2015,,,11.131559999999999,11.131559999999999,0,21.756000000000004,20.039000000000005,7.89,11.5781818181818,11.838690909090905,2.25,8.71785714285714,8.717857142857143,0,3.075,3.0749999999999997,0,24.7105327753144,24.710532775314405,0,15.614172775314401,15.614172775314406,0,8.32,0,100,52.441502,52.441502,0,1377.3125458273998,1377.3125458273998,0,2647.3650157943057,2127.345989213375,19.64,528.9218685973118,528.9218685973118,0,1048.1325929216748,845.6876272282219,19.31,184.8,0,100,0,0,0,0,0,0,0,0,0,306.59999999999997,306.59999999999997,0,5276.283429803068,4366.389281060374,17.24,51,42,17.65,164.02607880737744,135.67061061783107,17.29,1,1,0,KO
2582E3378313L,2,2.5,4.1.1,3cl-2024.6.1.0,70,ballon électrique à accumulation vertical catégorie b ou 2 étoiles,,,99,"panneau rayonnant électrique nfc, nf** et nf***",,,15.0311708099439,15.031170809943866,0,13.464,13.464000000000002,0,3.2775,3.2775,0,0,0,0,4.73,4.73,0,27.7919368447288,27.791936844728774,0,10.6559368447288,10.655936844728773,0,6.448,6.448,0,21.414798,21.414798,0,869.0989678,869.0989678,0,1677.5367165974,1677.5230345942132,0,1643.35501913978,1643.3550191397846,0,1610.41002818532,1610.3974791245728,0,0,0,0,0,0,0,0,0,0,0,0,0,203.09184,203.09184,0,8109.61022084774,8109.581358008022,0,231,231,0,251.65,251.80253625492722,0.06,7,7,0,OK
2593E3377930D,5,2.5,LICIEL Diagnostics v4 [Version XML:317],BBS_Slama_2024.6.1.0,52,chaudière gaz basse température 2001-2015,,,92,chaudière gaz basse température 2001-2015,,,52.193749999999994,52.193749999999994,0,72.84,72.84,0,0,0,0,0,0,0,0,0,0,43.688822479128504,43.688822479128504,0,9.571862479128502,9.571862479128502,0,14.330400000000001,14.3304,0,84.699888,84.69988800000002,0,1376.7020418169202,1376.7020418169202,0,6147.096315595727,6147.104253114196,0,3012.1734701877253,3012.173963935487,0,9310.250896267034,9302.379629661671,0.08,176.51864419885007,176.5187419793044,0,6.126529595963323,0,100,10.142707829075805,9.837948650241527,3,2.2715581245106775,2.2033014955319836,3,0,0,0,13134.55721787608,13111.737715484836,0.17,157,156,0.64,2820.5790195291283,2818.37638944256,0.08,33,33,0,OK
2541E3380113C,1,2.5,LICIEL Diagnostics v4 [Version XML:317],BBS_Slama_2024.6.1.0,71,ballon électrique à accumulation vertical catégorie c ou 3 étoiles,,,100,"radiateur électrique nfc, nf** et nf***",,,117.53223510400001,117.53223510400001,0,28.994,28.994,0,30.492,30.492,0,11.3114202982203,11.311420298220298,0,4.94,4.9399999999999995,0,93.01755245451268,93.01647061314648,0,45.53655245451269,45.53547061314649,0,40.0313,40.0313,0,47.603178,47.603178,0,1215.9865658654003,1215.9865658654003,0,14115.649840007265,14115.64303733502,0,1807.3263300133415,1807.3263300133412,0,12554.293346285775,12554.287923482676,0,0,0,0,0,0,0,0,0,0,0,0,0,569.4000000000001,569.4,0,29113.928919725127,29113.918883675164,0,312,312,0,945.4961422456136,945.4958056776002,0,10,10,0,OK
2585E3380882J,1,2.5,LICIEL Diagnostics v4 [Version XML:317],3cl_tribu_2024.6.1.0,48,chaudière gaz standard 1991-2000,,,88,chaudière gaz standard 1991-2000,,,75.3723751,75.3723751,0,23.644,23.644,0,27.774368563,30.613315789473685,10.22,16.50268595611283,16.502685956112852,0,0,0,0,38.08764766609541,38.084820909632505,0.01,17.91408766609541,17.911260909632503,0.02,9.1553,9.1553,0,54.963957,54.963957,0,809.4854023707502,809.4854023707502,0,7405.3184541527135,7554.90737411228,2.02,1557.56159935516,1557.56159935516,0,10581.546702512636,10691.519797108263,1.04,168.69,168.69,0,0,0,0,18.019608238438273,18.38360794367322,2.02,1.9697478124354924,1.9697478124354924,0,306.59999999999997,306.59999999999997,0,13477.686688884805,13588.496982802473,0.82,299,302,1,2793.2585393542463,2818.2457278085885,0.89,62,62,0,OK
2531E3384283C,2,2.5,4.1.1,3cl-2024.6.1.0,69,ballon électrique à accumulation vertical autres ou inconnue,,,104,radiateur électrique à accumulation,,,25.87,25.87,0,5.124,5.124,0,0,0,0,3.2129630336055,3.2129630336055,0,0,0,0,14.9501092619897,14.950109261989684,0,7.87130910635004,7.871309106350044,0,5.6253,5.625299999999999,0,10.411299,10.411299,0,673.274332266361,673.2743322663608,0,1744.81322499599,1744.8252488150729,0,1110.59089491007,1110.5908949100653,0,1560.96667449816,1560.9762693778582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6223.32136117012,6223.343429393435,0,358,358,0,197.790004348755,197.8677019959414,0.04,11,11,0,OK
2534E3387648Q,2,2.5,LICIEL Diagnostics v4 [Version XML:317],3cl_tribu_2024.6.1.0,53,chaudière gaz basse température après 2015,,,93,chaudière gaz basse température après 2015,2,pac air/air installée entre 2008 et 2014,180.00783360000003,180.00783360000003,0,26.945999999999998,26.663999999999994,1.05,0,0,0,12.9025925925926,12.902592592592594,0,1.274,1.274,0,121.73776554941531,121.73776554941531,0,67.71448554941531,67.71448554941531,0,16.4008,16.4008,0,22.299173,22.29917256,0,1442.4190494843365,1442.4190494843363,0,10324.053707519424,10313.80755626787,0.1,2540.258831154712,2540.258831154712,0,10443.222817154096,10395.985490794194,0.45,231.18,115.59,50,0,0,0,13.229722666175528,6.960146619934705,47.39,3.5098863537452187,3.5098863537452187,0,0,0,0,17909.34532756371,17578.665335352496,1.85,135,132,2.22,2602.0016081668873,2583.8323175481396,0.7,19,19,0,OK
2520E3377819B,1,2.5,WinDpeV3 v.3.0.0.18,V 2024.6.1.0,5,cet sur air extérieur 2010-2014,,,30,poêle bûche installé à partir de 2005 sans label flamme verte,,,9.893,9.893081081081078,0,32.382,32.382,0,27.595,27.595125,0,20.441,20.44083333333333,0,12.76,12.76,0,83.995,83.99481855580588,0,18.8122285558059,18.812228555805877,0,0,0,0,90.053808,90.053808,0,1156.24118633016,1156.2411863301602,0,2197.88507619916,2197.8864956204625,0,497.308037131252,497.3080371312517,0,3723.10469260287,3578.9123488815276,3.87,0,0,0,0,0,0,0,0,0,0,0,0,700.8,700.8,0,7237.86406353971,7083.911507103617,2.13,62,60,3.23,213.7896,208.8875933038159,2.29,1,1,0,OK
2568E3385450K,5,2.5,LICIEL Diagnostics v4 [Version XML:317],3cl_tribu_2024.6.1.0,36,chaudière fioul classique 1970-1975,,,76,chaudière fioul classique 1970-1975,,,71.5676,71.5676,0,27.918,27.918,0,0,0,0,0,0,0,0,0,0,40.4568006313402,40.4568006313402,0,15.095520631340202,15.095520631340204,0,30.336399999999998,30.336399999999998,0,16.297066,16.2970664,0,1246.154901486208,1246.154901486208,0,7849.136893057194,7849.136893057193,0,2834.614742887993,2834.6164565237073,0,12406.827687813526,12312.699043175488,0.76,164.34,164.34,0,0,0,0,12.951075050559385,12.576085183593603,2.9,2.056155456792429,1.9966208267950327,2.9,0,0,0,15914.242898468428,15819.116561123088,0.6,256,254,0.78,4957.514625427763,4926.989690215204,0.62,79,79,0,OK
