code,enum_methode_application_dpe_log_id,version_dpe,version_logiciel,version_moteur_calcul,type_generateur_ecs_1_id,type_generateur_ecs_1_label,type_generateur_ecs_2_id,type_generateur_ecs_2_label,type_generateur_ch_1_id,type_generateur_ch_1_label,type_generateur_ch_2_id,type_generateur_ch_2_label,deperdition_mur_input,deperdition_mur_output,deperdition_mur_diff,deperdition_baie_vitree_input,deperdition_baie_vitree_output,deperdition_baie_vitree_diff,deperdition_plancher_bas_input,deperdition_plancher_bas_output,deperdition_plancher_bas_diff,deperdition_plancher_haut_input,deperdition_plancher_haut_output,deperdition_plancher_haut_diff,deperdition_porte_input,deperdition_porte_output,deperdition_porte_diff,deperdition_renouvellement_air_input,deperdition_renouvellement_air_output,deperdition_renouvellement_air_diff,hperm_input,hperm_output,hperm_diff,deperdition_pont_thermique_input,deperdition_pont_thermique_output,deperdition_pont_thermique_diff,surface_sud_equivalente_input,surface_sud_equivalente_output,surface_sud_equivalente_diff,besoin_ecs_input,besoin_ecs_output,besoin_ecs_diff,besoin_ch_input,besoin_ch_output,besoin_ch_diff,conso_ecs_input,conso_ecs_output,conso_ecs_diff,conso_ch_input,conso_ch_output,conso_ch_diff,conso_auxiliaire_distribution_ch_input,conso_auxiliaire_distribution_ch_output,conso_auxiliaire_distribution_ch_diff,conso_auxiliaire_distribution_ecs_input,conso_auxiliaire_distribution_ecs_output,conso_auxiliaire_distribution_ecs_diff,conso_auxiliaire_generation_ch_input,conso_auxiliaire_generation_ch_output,conso_auxiliaire_generation_ch_diff,conso_auxiliaire_generation_ecs_input,conso_auxiliaire_generation_ecs_output,conso_auxiliaire_generation_ecs_diff,conso_auxiliaire_ventilation_input,conso_auxiliaire_ventilation_output,conso_auxiliaire_ventilation_diff,ep_conso_5_usages_input,ep_conso_5_usages_output,ep_conso_5_usages_diff,ep_conso_5_usages_m2_input,ep_conso_5_usages_m2_output,ep_conso_5_usages_m2_diff,emission_ges_5_usages_input,emission_ges_5_usages_output,emission_ges_5_usages_diff,emission_ges_5_usages_m2_input,emission_ges_5_usages_m2_output,emission_ges_5_usages_m2_diff,runFailed
2534E0374909B,1,2.4,LICIEL Diagnostics v4 [Version XML:308],3cl_tribu_2024.6.1.0,70,ballon électrique à accumulation vertical catégorie b ou 2 étoiles,,,98,"convecteur électrique nfc, nf** et nf***",,,46.612,46.612,0,23.509,23.509,0,15.4490668528,15.449066666666669,0,13.96,13.96,0,11.02,11.02,0,67.21469763930368,67.21469763930368,0,16.979697639303676,16.979697639303684,0,61.54679999999999,61.54679999999999,0,40.725312,40.725312,0,1083.0669495240002,1083.0669495240002,0,6471.380420505994,6471.375509494055,0,1953.7445396827584,1953.7445396827588,0,5313.1765171700235,5313.172773595137,0,0,0,0,0,0,0,0,0,0,0,0,0,569.4000000000001,569.4,0,18453.430648761398,18453.42203853916,0,187,187,0,596.0727064758112,596.0724107333953,0,6,6,0,OK
2534E0197813R,1,2.4,LICIEL Diagnostics v4 [Version XML:305],3cl_tribu_2024.6.1.0,56,chaudière gaz à condensation 2001-2015,,,96,chaudière gaz à condensation 2001-2015,1,pac air/air installée avant 2008,295.04055,295.04055,0,68.7617,68.7617,0,59.911184399999996,59.911184210526315,0,36.903999999999996,36.904,0,14.416999999999998,14.416999999999998,0,173.37627787469532,173.3720476421814,0,114.21627787469531,114.2120476421814,0,57.31100000000001,57.31100000000001,0,80.9754,80.9754,0,1275.4130214000002,1275.4130214000002,0,22882.35786488295,22882.17270664592,0,1946.4653767280652,1946.4653767280654,0,19003.620606523353,18972.296647867573,0.16,127.74,129.55613864045466,1.42,0,0,0,32.6402369084135,19.133777153868763,41.38,3.103505018740001,3.1035050187400004,0,0,0,0,27131.10512265796,27072.861571155187,0.21,187,186,0.53,4302.304468420684,4294.449264837469,0.18,29,29,0,OK
2538E0533103P,1,2.4,LICIEL Diagnostics v4 [Version XML:308],3cl_tribu_2024.6.1.0,13,poêle à bois bouilleur bûche installé avant 2012,69,ballon électrique à accumulation vertical autres ou inconnue,48,poêle à bois bouilleur bûche installé avant 2012,99,"panneau rayonnant électrique nfc, nf** et nf***",149.18805000000003,149.18805000000003,0,11.396,11.396,0,29.3905561708,29.390556275303645,0,7.161,7.1610000000000005,0,14.525000000000002,14.525000000000002,0,111.2441704774224,111.2441704774224,0,30.890134477422396,30.890134477422393,0,21.0569,21.0569,0,25.411416,25.411416,0,1393.24639824188,1393.24639824188,0,19970.88668453824,19970.851496394906,0,5278.505941783094,5027.454592662936,4.76,26353.84738889461,26291.85371166241,0.24,184.8,184.8,0,0,0,0,0,0,0,0,0,0,0,0,0,45428.49706165845,45115.43473923439,0.69,428,425,0.7,1440.4368078638543,1431.0448051444273,0.65,13,13,0,OK
2540E1450366A,1,2.4,LICIEL Diagnostics v4 [Version XML:309],3cl_tribu_2024.6.1.0,103,chaudière gpl/propane/butane à condensation 2001-2015,,,138,chaudière gpl/propane/butane à condensation 2001-2015,,,177.58775,177.59575,0,24.343,24.342999999999996,0,31.476,31.476,0,23.77617021276596,23.776170212765958,0,4.75,4.75,0,95.83668816405051,95.83668816405051,0,34.687688164050506,34.687688164050506,0,38.5278,38.5278,0,75.522928,75.522928,0,1208.6023092640003,1208.6023092640003,0,14886.632727478738,14886.997898174539,0,1868.7003722434072,1868.7003722434074,0,17756.016371776703,17710.105621202147,0.26,149.61,149.61,0,0,0,0,36.22413963686493,36.22502821889138,0,2.9409322858757347,2.9409322858757343,0,569.4000000000001,569.4,0,21863.190621442413,21817.281914606516,0.21,200,200,0,5401.286295336527,5388.798628049496,0.23,49,49,0,OK
2576E0637305V,1,2.4,LICIEL Diagnostics v4 [Version XML:309],3cl_tribu_2024.6.1.0,39,chaudière fioul standard 1991-2015,,,79,chaudière fioul standard 1991-2015,,,104.45822875512674,104.45822875512677,0,140.98000000000002,140.98000000000002,0,42.46906987858,42.46906947368421,0,25.644,25.644000000000002,0,24.66,24.660000000000004,0,137.52144433210287,137.52144433210287,0,76.29288433210287,76.29288433210289,0,64.72460000000001,64.4726,0.39,106.463095,106.46309520000001,0,1538.7337990983,1538.7337990983,0,25270.937592823528,25594.03232182783,1.28,3775.793018450214,3775.793018450214,0,34973.57337529831,35379.58933940179,1.16,232.68306426711462,232.60968748067882,0.03,0,0,0,60.650250222776464,61.425677572386796,1.28,3.69296111783592,3.6929611178359205,0,0,0,0,40084.8811176463,40492.51179804508,1.02,267,269,0.75,12593.375021913416,12724.969125518986,1.04,83,84,1.2,OK
2559E0304130T,1,2.4,LICIEL Diagnostics v4 [Version XML:305],3cl_tribu_2024.6.1.0,71,ballon électrique à accumulation vertical catégorie c ou 3 étoiles,,,99,"panneau rayonnant électrique nfc, nf** et nf***",,,23.9766666666667,23.9766666666667,0,18.872,18.872,0,8.3366154384,8.336615384615383,0,8.99090909090909,8.990909090909092,0,7.986,7.986,0,50.41770662198305,50.41483787923768,0.01,31.577082621983052,31.57421387923768,0.01,18.232799999999997,18.232799999999997,0,33.994819,33.994819,0,801.6812749155,801.6812749155,0,5870.1740440595495,5869.951458566752,0,1245.669329864098,1245.6693298640978,0,4983.4945593821585,4983.3234644532295,0,0,0,0,0,0,0,0,0,0,0,0,0,306.59999999999997,306.59999999999997,0,15214.744005266388,15214.35048692985,0,362,362,0,499.7615884323569,499.7480719329715,0,11,11,0,OK
2529E1002320B,1,2.4,WinDpeV3 v.3.0.0.18,V 2024.6.1.0,70,ballon électrique à accumulation vertical catégorie b ou 2 étoiles,,,102,plancher ou plafond rayonnant électrique avec régulation terminale,99,"panneau rayonnant électrique nfc, nf** et nf***",16.005,16.005263157894735,0,23.114,23.113999999999997,0,9.269,10.3208,11.35,9.93,9.975949367088607,0.46,3.84,3.84,0,44.776,44.60966965684077,0.37,5.33539102052842,5.169125656840769,3.12,39.721,39.721000000000004,0,64.842696,64.84269599999999,0,1186.276349454,1186.2763494540002,0,4123.46716950905,4167.2526590099,1.06,1984.40596715484,1984.4059671548391,0,4061.54767017051,4102.875790611697,1.02,0,0,0,0,0,0,0,0,0,0,0,0,306.6,306.59999999999997,0,13836.465835562,13919.75338658348,0.6,157,158,0.64,437.6424,440.1646662790054,0.58,4,5,25,OK
2593E0695005S,1,2.4,LICIEL Diagnostics v4 [Version XML:308],3cl_tribu_2024.6.1.0,57,chaudière gaz à condensation après 2015,,,97,chaudière gaz à condensation après 2015,,,39.60314150943396,39.60314150943396,0,33.206649999999996,33.206649999999996,0,16.2620179151,16.26201789473684,0,18.835,18.835,0,10.035,10.035,0,85.17199711177832,85.17199711177832,0,23.37111511177832,23.37111511177832,0,31.793400000000002,31.793400000000002,0,43.756312,43.756312,0,1202.1209489919001,1202.1209489919001,0,10510.613839217232,10510.625992556528,0,1598.4559846532786,1598.4559846532788,0,12546.74338538665,12516.05005602288,0.24,198.62034480852097,198.62046449903684,0,0,0,0,25.225473214121358,25.225502382135666,0,2.8850902775805602,2.8850902775805607,0,0,0,0,15021.00442913044,14990.31144214129,0.2,184,183,0.54,3236.1007542302777,3229.133377991648,0.22,39,39,0,OK
2529E0773970J,1,2.4,LICIEL Diagnostics v4 [Version XML:309],3cl_tribu_2024.6.1.0,38,chaudière fioul classique 1981-1990,,,78,chaudière fioul classique 1981-1990,,,91.95858229999999,91.95858229999999,0,41.861000000000004,41.861000000000004,0,25.9306998953,25.9307,0,32.90311519007995,32.90311519007995,0,12.55625,12.55625,0,127.01522241775855,127.01522241775855,0,80.09522241775855,80.09522241775855,0,38.116899999999994,38.116899999999994,0,56.182832,56.182832000000005,0,1314.34206225,1314.34206225,0,15880.38107411208,15880.356181609992,0,2342.7827798158196,2342.7827798158196,0,24717.121270994867,24686.860593955815,0.12,245.31521437917235,186.5032627996579,23.97,0,0,0,28.981695460254546,38.642200041917654,33.33,3.1982323514750006,3.1982323514750006,0,0,0,0,28198.047877849764,28054.73887271565,0.51,245,243,0.82,6292.285513516038,6279.338908979276,0.21,54,54,0,OK
2574E0648366E,1,2.4,LICIEL Diagnostics v4 [Version XML:308],3cl_tribu_2024.6.1.0,5,cet sur air extérieur 2010-2014,,,100,"radiateur électrique nfc, nf** et nf***",,,24.9619,24.9619,0,23.400999999999996,23.401000000000003,0,16.7835336178,16.783533333333335,0,13.16,13.160000000000002,0,7.21,7.21,0,43.70098066392334,43.70098066392334,0,10.027108663923338,10.027108663923338,0,29.266199999999998,29.266199999999998,0,50.226992,50.226992,0,1286.6758268982799,1286.6758268982799,0,6984.769173191871,6984.745249500802,0,628.8738156883088,628.8738156883088,0,6664.556577602119,6664.534632513161,0,0,0,0,0,0,0,0,0,0,0,0,0,131.39999999999998,131.4,0,14350.149719885394,14350.109428091066,0,168,168,0,470.1916490719639,470.1902991896311,0,5,5,0,OK
